id	storeNmae	phone	address	map-href
1	北市寶興概念店	02-23050189	台北市萬華區寶興街47號	https://maps.app.goo.gl/GbNhWY5GrQ2s5cNe8
2	北市木新概念店	02-86615680	台北市文山區忠順街一段26巷15號	"https://www.google.com/maps/place/116%E5%8F%B0%E5%8C%97%E5%B8%82%E6%96%87%E5%B1%B1%E5%8D%80%E5%BF%A0%E9%A0%86%E8%A1%97%E4%B8%80%E6%AE%B526%E5%B7%B715%E8%99%9F/@24.9816886,121.5580515,17.5z/data=!4m6!3m5!1s0x346801e07fa40013:0xa1aa686a3edd57be!8m2!3d24.982"
3	北市內湖概念店	02-87513038	台北市內湖區內湖路1段602號	https://www.google.com/maps/dir//114%E5%8F%B0%E5%8C%97%E5%B8%82%E5%85%A7%E6%B9%96%E5%8D%80%E5%85%A7%E6%B9%96%E8%B7%AF%E4%B8%80%E6%AE%B5602%E8%99%9F/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3442ac6375aa1445:0x87390a1d40227ffa?sa=X&ved=2ahUKEwj31L3OmKf3AhUim1YBHQ_
4	北市永吉概念店	02-27560155	台北市信義區永吉路326巷42號	https://www.google.com/maps/place/110%E5%8F%B0%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E6%B0%B8%E5%90%89%E8%B7%AF326%E5%B7%B742%E8%99%9F/data=!4m2!3m1!1s0x3442aba26d07f165:0x7df5fed004fe8d1b?sa=X&ved=2ahUKEwih_PO3s6v2AhXnxYsBHcWdCdkQ8gF6BAgMEAE
5	北市寧波概念店	02-23225159	台北市中正區寧波西街76-1號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E6%AD%A3%E5%8D%80%E5%AF%A7%E6%B3%A2%E8%A5%BF%E8%A1%9776-1%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
6	北市孔廟概念店	02-25959880	台北市大同區酒泉街62號	https://www.google.com/maps/dir//%E6%97%A9%E5%AE%89%E7%BE%8E%E8%8A%9D%E5%9F%8E+%E5%8C%97%E5%B8%82%E5%AD%94%E5%BB%9F%E6%A6%82%E5%BF%B5%E5%BA%97/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3442a94849d5cc23:0x9a3ce9b2251633f?sa=X&ved=2ahUKEwiIofHGgMvxAhXlw4sBHe9SAsIQ9
7	松山撫遠概念店	02-27530097	台北市松山區撫遠街356號	https://www.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E6%9D%BE%E5%B1%B1%E5%8D%80%E6%92%AB%E9%81%A0%E8%A1%97356%E8%99%9F&um=1&ie=UTF-8&sa=X&ved=2ahUKEwj6qrfB7YHwAhW9wYsBHZeNDX8Q_AUoAXoECAEQAw
8	北市木柵概念店	02-29385265	台北市文山區木柵路一段281號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E6%96%87%E5%B1%B1%E5%8D%80%E6%9C%A8%E6%9F%B5%E8%B7%AF%E4%B8%80%E6%AE%B5281%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
9	南港忠孝	02-27831177	台北市南港區忠孝東路7段613號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E5%8D%97%E6%B8%AF%E5%8D%80%E5%BF%A0%E5%AD%9D%E6%9D%B1%E8%B7%AF7%E6%AE%B5613%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
10	北市活力崇德	02-87322303	台北市信義區崇德街92號	"https://www.google.com/maps/place/%E6%97%A9%E5%AE%89%E7%BE%8E%E8%8A%9D%E5%9F%8E%E5%8C%97%E5%B8%82%E6%B4%BB%E5%8A%9B%E5%B4%87%E5%BE%B7/@25.0241802,121.5526411,17z/data=!3m2!4b1!5s0x3442aa34114adbc7:0x46c3a7720f124559!4m6!3m5!1s0x3442aa3416c81e85:0xcbf038a9"
